player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,adj_market_fvm,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Akanji,D,Dc,INT,15,4.7,6.0,0.5,0.0,0.0,0.0,47,1.0,6.28,6.28,0.0,,0.842,0.062,0.0,0.125,0.0,1.0,2.299,0.326,0.074,0.01,0.074,0.736,1.1,3.009,112,6,1,0.736,2,0,143,True,1.0,0.4734,0.5322,177.9,191.2,192.7,14.8,16.0,75.0,40,19,-7
Gatti,D,Dc,JUV,4,1.0,6.0,0.5,0.0,0.0,0.0,10,4.0,6.012,5.998,0.083,0.017,0.605,0.076,0.0,0.174,0.0,4.0,2.913,0.964,0.138,0.047,0.138,1.06,1.0076,1.992,108,8,0,0.42,0,1,0,False,0.0,0.4726,0.5044,134.2,136.3,136.3,2.1,0.0,10.0,6,3,-4
Casadei,C,C;T,TOR,9,2.7,6.0,0.5,0.0,0.0,0.0,27,3.0,4.995,4.0,2.829,2.985,0.618,0.149,0.021,0.128,0.0,2.0,3.518,1.1,0.177,0.066,0.177,1.47,0.9571,1.436,3,2,0,0.012,1,0,70,True,0.5,0.4724,0.4733,172.5,188.8,195.4,22.9,6.1,27.0,15,8,-12
Konè I.,C,C,SAS,8,2.0,6.0,0.5,0.0,0.0,0.0,20,1.0,6.19,6.19,0.0,,0.921,0.171,0.0,0.086,0.0,1.0,5.083,1.76,0.164,0.057,0.164,0.741,0.9714,1.594,250,6,1,1.0,0,0,0,False,0.0,0.4724,0.5558,179.0,199.7,200.3,21.3,17.0,20.0,11,6,-9
Terracciano,P,Por,MIL,1,0.1,6.0,0.5,0.0,0.0,0.0,1,8.0,6.102,6.171,0.151,-0.0394,0.395,0.0,0.0,0.043,0.0,4.0,1.273,0.801,0.046,0.051,0.046,0.473,1.0464,2.419,12,2,0,0.047,0,1,0,False,0.0,0.4723,0.4757,90.9,90.9,94.7,3.8,0.0,1.0,2,1,1
Zalewski,C,W,ATA,7,1.8,6.0,0.5,0.0,0.0,0.0,18,6.0,6.027,5.96,0.103,0.0246,0.518,0.043,0.077,0.094,0.0,4.0,1.897,2.826,0.089,0.167,0.089,1.377,1.0354,2.298,54,7,0,0.21,1,1,95,True,0.5,0.4723,0.4877,180.5,198.9,198.9,18.4,16.2,18.0,10,5,-8
Sabelli,D,Dd;Ds;E,GEN,2,0.5,6.0,0.5,0.0,0.0,0.0,5,6.0,5.848,5.843,0.068,-0.0029,0.544,0.0,0.055,0.118,0.0,3.0,0.394,1.618,0.023,0.08,0.023,0.377,0.9593,1.46,17,3,0,0.066,0,2,0,False,0.0,0.4722,0.4769,116.2,116.9,120.4,4.2,0.0,5.0,3,2,-2
Terracciano F.,D,B;Dd;Ds,MIL,2,0.4,6.0,0.5,0.0,0.0,0.0,4,4.0,5.815,5.885,0.132,-0.084,0.487,0.03,0.03,0.149,0.0,4.0,1.273,0.801,0.046,0.051,0.046,0.473,1.0464,2.419,12,2,0,0.047,0,0,0,False,0.0,0.4718,0.4751,103.4,105.4,110.8,7.4,0.0,4.0,3,2,-1
Doig,D,Ds;E,SAS,5,1.0,6.0,0.5,0.0,0.0,0.0,10,3.0,5.877,5.913,0.111,-0.11,0.667,0.026,0.079,0.171,0.0,3.0,0.776,1.412,0.042,0.069,0.042,0.689,0.9714,1.594,67,4,0,0.261,2,0,151,True,1.0,0.4718,0.491,175.3,196.7,196.7,21.4,21.5,10.0,6,3,-4
Akinsanmiro,C,C,MON,7,1.1,6.0,0.5,0.0,0.0,0.0,11,1.0,5.8,5.8,0.0,,0.605,0.0,0.043,0.087,0.0,1.0,1.113,1.643,0.069,0.103,0.069,0.812,0.9337,1.178,36,4,0,0.14,0,1,36,False,0.0,0.4715,0.4816,133.4,133.4,136.1,2.7,0.0,11.0,6,3,-5
Nicolussi Caviglia,C,M;C,PAR,6,1.6,6.0,0.5,0.0,0.0,0.0,16,7.0,5.998,4.249,2.69,0.6425,0.405,0.072,0.101,0.159,0.0,4.0,1.194,1.237,0.059,0.086,0.059,1.41,0.9545,1.408,0,0,0,0.0,0,0,0,False,0.0,0.4709,0.4709,93.6,93.6,96.9,3.3,0.0,16.0,9,5,-7
Winks,C,M;C,CAG,6,1.5,6.0,0.5,0.0,0.0,0.0,15,1.0,5.78,5.78,0.0,,0.526,0.0,0.0,0.1,0.0,1.0,0.422,0.979,0.022,0.051,0.022,0.732,0.9604,1.472,0,0,0,0.0,2,0,147,True,1.0,0.4708,0.4708,178.7,194.1,195.4,16.7,11.4,15.0,8,5,-7
Smolcic I.,D,Dd;E,COM,4,1.0,6.0,0.5,0.0,0.0,0.0,10,2.0,5.91,5.885,0.075,,0.434,0.0,0.04,0.32,0.0,2.0,1.013,0.79,0.074,0.061,0.074,0.74,1.0068,1.982,0,0,0,0.0,0,2,33,False,0.0,0.4705,0.4705,92.6,92.6,98.5,5.9,0.0,10.0,6,3,-4
